BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ISNE,2/4/2023 12 a.m. EST,17453,16890,16100,-1353
ISNE,2/4/2023 1 a.m. EST,16998,16680,15442,-1556
ISNE,2/4/2023 2 a.m. EST,16402,16410,15305,-1097
ISNE,2/4/2023 3 a.m. EST,16297,16290,15460,-837
ISNE,2/4/2023 4 a.m. EST,16273,16240,15659,-614
ISNE,2/4/2023 5 a.m. EST,16433,16440,15789,-644
ISNE,2/4/2023 6 a.m. EST,16783,16800,16382,-401
ISNE,2/4/2023 7 a.m. EST,17415,17450,17286,-129
ISNE,2/4/2023 8 a.m. EST,17976,18000,17744,-232
ISNE,2/4/2023 9 a.m. EST,17714,17700,16919,-795
ISNE,2/4/2023 10 a.m. EST,16987,16990,16167,-820
ISNE,2/4/2023 11 a.m. EST,16475,16460,15486,-989
ISNE,2/4/2023 12 p.m. EST,16079,16080,15302,-777
ISNE,2/4/2023 1 p.m. EST,16110,15800,15204,-906
ISNE,2/4/2023 2 p.m. EST,16177,15850,14935,-1242
ISNE,2/4/2023 3 p.m. EST,16898,16210,15382,-1516
ISNE,2/4/2023 4 p.m. EST,17978,17680,16063,-1915
ISNE,2/4/2023 5 p.m. EST,18639,18890,16760,-1879
ISNE,2/4/2023 6 p.m. EST,19287,19500,17348,-1939
ISNE,2/4/2023 7 p.m. EST,19092,19600,16913,-2179
ISNE,2/4/2023 8 p.m. EST,18593,18820,16375,-2218
ISNE,2/4/2023 9 p.m. EST,18037,18160,16004,-2033
ISNE,2/4/2023 10 p.m. EST,17283,17370,15306,-1977
ISNE,2/4/2023 11 p.m. EST,16390,16420,14002,-2388
ISNE,2/5/2023 12 a.m. EST,15533,15630,12705,-2828
ISNE,2/5/2023 1 a.m. EST,14846,14850,11800,-3046
ISNE,2/5/2023 2 a.m. EST,14358,14370,11556,-2802
ISNE,2/5/2023 3 a.m. EST,14054,14080,11476,-2578
ISNE,2/5/2023 4 a.m. EST,13871,13890,11484,-2387
ISNE,2/5/2023 5 a.m. EST,13795,13810,11240,-2555
ISNE,2/5/2023 6 a.m. EST,13917,13960,11121,-2796
ISNE,2/5/2023 7 a.m. EST,14299,14330,11174,-3125
ISNE,2/5/2023 8 a.m. EST,14548,14570,11401,-3147
ISNE,2/5/2023 9 a.m. EST,14404,14410,11270,-3134
ISNE,2/5/2023 10 a.m. EST,13949,13580,11277,-2672
ISNE,2/5/2023 11 a.m. EST,13605,13180,10740,-2865
ISNE,2/5/2023 12 p.m. EST,13128,13010,10037,-3091
ISNE,2/5/2023 1 p.m. EST,12997,12750,9802,-3195
ISNE,2/5/2023 2 p.m. EST,13134,12780,10279,-2855
ISNE,2/5/2023 3 p.m. EST,13613,13360,10654,-2959
ISNE,2/5/2023 4 p.m. EST,14247,14110,11216,-3031
ISNE,2/5/2023 5 p.m. EST,14813,15170,11905,-2908
ISNE,2/5/2023 6 p.m. EST,15996,16350,13103,-2893
ISNE,2/5/2023 7 p.m. EST,16061,16430,13028,-3033
ISNE,2/5/2023 8 p.m. EST,15621,15690,12544,-3077
ISNE,2/5/2023 9 p.m. EST,15021,15110,11971,-3050
ISNE,2/5/2023 10 p.m. EST,14630,14330,11656,-2974
ISNE,2/5/2023 11 p.m. EST,13956,13430,11120,-2836
ISNE,2/6/2023 12 a.m. EST,13135,12690,10101,-3034
ISNE,2/6/2023 1 a.m. EST,12426,11850,9412,-3014
ISNE,2/6/2023 2 a.m. EST,12347,11530,9192,-3155
ISNE,2/6/2023 3 a.m. EST,12240,11410,9051,-3189
ISNE,2/6/2023 4 a.m. EST,12540,11470,9237,-3303
ISNE,2/6/2023 5 a.m. EST,12659,11850,9675,-2984
ISNE,2/6/2023 6 a.m. EST,12782,12800,9993,-2789
ISNE,2/6/2023 7 a.m. EST,14271,14330,10966,-3305
ISNE,2/6/2023 8 a.m. EST,15169,15210,11657,-3512
ISNE,2/6/2023 9 a.m. EST,15037,15060,11584,-3453
ISNE,2/6/2023 10 a.m. EST,14315,14200,11136,-3179
ISNE,2/6/2023 11 a.m. EST,14091,13290,11017,-3074
ISNE,2/6/2023 12 p.m. EST,13786,12910,11150,-2636
ISNE,2/6/2023 1 p.m. EST,13687,12860,11283,-2404
ISNE,2/6/2023 2 p.m. EST,13656,13030,11254,-2402
ISNE,2/6/2023 3 p.m. EST,14032,13400,11526,-2506
ISNE,2/6/2023 4 p.m. EST,14542,14060,11866,-2676
ISNE,2/6/2023 5 p.m. EST,15046,15030,12597,-2449
ISNE,2/6/2023 6 p.m. EST,16199,16190,13964,-2235
ISNE,2/6/2023 7 p.m. EST,16350,16440,13949,-2401
ISNE,2/6/2023 8 p.m. EST,15935,16020,13453,-2482
ISNE,2/6/2023 9 p.m. EST,15369,15390,13151,-2218
ISNE,2/6/2023 10 p.m. EST,14535,14540,12246,-2289
ISNE,2/6/2023 11 p.m. EST,13518,13560,11094,-2424
ISNE,2/7/2023 12 a.m. EST,13053,12720,10336,-2717
ISNE,2/7/2023 1 a.m. EST,12818,12220,10365,-2453
ISNE,2/7/2023 2 a.m. EST,12798,12010,10395,-2403
ISNE,2/7/2023 3 a.m. EST,12763,11950,10427,-2336
ISNE,2/7/2023 4 a.m. EST,12876,12060,10505,-2371
ISNE,2/7/2023 5 a.m. EST,13287,12500,10878,-2409
ISNE,2/7/2023 6 a.m. EST,13572,13490,11309,-2263
ISNE,2/7/2023 7 a.m. EST,15034,15100,12545,-2489
ISNE,2/7/2023 8 a.m. EST,15741,15750,13699,-2042
ISNE,2/7/2023 9 a.m. EST,14726,14730,12507,-2219
ISNE,2/7/2023 10 a.m. EST,13619,13370,11309,-2310
ISNE,2/7/2023 11 a.m. EST,13376,12830,11091,-2285
ISNE,2/7/2023 12 p.m. EST,13061,12650,11276,-1785
ISNE,2/7/2023 1 p.m. EST,12695,12630,10578,-2117
ISNE,2/7/2023 2 p.m. EST,13061,13100,,
ISNE,2/7/2023 3 p.m. EST,13426,13570,11265,-2161
ISNE,2/7/2023 4 p.m. EST,14446,14330,12361,-2085
ISNE,2/7/2023 5 p.m. EST,15594,15550,13506,-2088
ISNE,2/7/2023 6 p.m. EST,16710,16690,14567,-2143
ISNE,2/7/2023 7 p.m. EST,16736,16750,14529,-2207
ISNE,2/7/2023 8 p.m. EST,16274,16240,13899,-2375
ISNE,2/7/2023 9 p.m. EST,15610,15500,13213,-2397
ISNE,2/7/2023 10 p.m. EST,14716,14610,12392,-2324
ISNE,2/7/2023 11 p.m. EST,13875,13540,11524,-2351
ISNE,2/8/2023 12 a.m. EST,13180,12620,10530,-2650
ISNE,2/8/2023 1 a.m. EST,12420,12030,10431,-1989
ISNE,2/8/2023 2 a.m. EST,12476,11650,10186,-2290
ISNE,2/8/2023 3 a.m. EST,12358,11470,10091,-2267
ISNE,2/8/2023 4 a.m. EST,12124,11470,10019,-2105
ISNE,2/8/2023 5 a.m. EST,12054,11780,10039,-2015
ISNE,2/8/2023 6 a.m. EST,12638,12710,10460,-2178
ISNE,2/8/2023 7 a.m. EST,14115,14180,11822,-2293
ISNE,2/8/2023 8 a.m. EST,14834,14860,12384,-2450
ISNE,2/8/2023 9 a.m. EST,14556,14570,12191,-2365
ISNE,2/8/2023 10 a.m. EST,14012,13930,11528,-2484
ISNE,2/8/2023 11 a.m. EST,13330,12850,10866,-2464
ISNE,2/8/2023 12 p.m. EST,13275,12280,10741,-2534
ISNE,2/8/2023 1 p.m. EST,12838,12070,10330,-2508
ISNE,2/8/2023 2 p.m. EST,12278,12040,10204,-2074
ISNE,2/8/2023 3 p.m. EST,12307,12380,10481,-1826
ISNE,2/8/2023 4 p.m. EST,12697,13350,10714,-1983
ISNE,2/8/2023 5 p.m. EST,14197,14520,11805,-2392
ISNE,2/8/2023 6 p.m. EST,15537,15710,13165,-2372
ISNE,2/8/2023 7 p.m. EST,15830,16100,13275,-2555
ISNE,2/8/2023 8 p.m. EST,15495,15580,13021,-2474
ISNE,2/8/2023 9 p.m. EST,14955,14960,12451,-2504
ISNE,2/8/2023 10 p.m. EST,14152,14190,11511,-2641
ISNE,2/8/2023 11 p.m. EST,13130,13240,10847,-2283
ISNE,2/9/2023 12 a.m. EST,12518,12380,10370,-2148
