"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"2/12/2023 12 a.m. PST",3704,3532,3380,-324
NEVP,"2/12/2023 1 a.m. PST",3636,3478,3329,-307
NEVP,"2/12/2023 2 a.m. PST",3583,3431,3412,-171
NEVP,"2/12/2023 3 a.m. PST",3546,3406,3217,-329
NEVP,"2/12/2023 4 a.m. PST",3534,3398,3148,-386
NEVP,"2/12/2023 5 a.m. PST",3560,3418,3137,-423
NEVP,"2/12/2023 6 a.m. PST",3626,3486,3182,-444
NEVP,"2/12/2023 7 a.m. PST",3690,3594,3216,-474
NEVP,"2/12/2023 8 a.m. PST",3712,3524,3122,-590
NEVP,"2/12/2023 9 a.m. PST",3694,3472,3183,-511
NEVP,"2/12/2023 10 a.m. PST",3609,3430,3356,-253
NEVP,"2/12/2023 11 a.m. PST",3614,3365,3690,76
NEVP,"2/12/2023 12 p.m. PST",3562,3325,3568,6
NEVP,"2/12/2023 1 p.m. PST",3603,3297,3416,-187
NEVP,"2/12/2023 2 p.m. PST",3587,3276,3360,-227
NEVP,"2/12/2023 3 p.m. PST",3542,3323,3503,-39
NEVP,"2/12/2023 4 p.m. PST",3520,3367,3395,-125
NEVP,"2/12/2023 5 p.m. PST",3640,3548,3298,-342
NEVP,"2/12/2023 6 p.m. PST",3847,3831,3569,-278
NEVP,"2/12/2023 7 p.m. PST",3938,3916,3775,-163
NEVP,"2/12/2023 8 p.m. PST",3932,3933,3870,-62
NEVP,"2/12/2023 9 p.m. PST",3954,3869,3823,-131
NEVP,"2/12/2023 10 p.m. PST",3846,3792,3760,-86
NEVP,"2/12/2023 11 p.m. PST",3718,3702,3615,-103
NEVP,"2/13/2023 12 a.m. PST",3583,3536,3428,-155
NEVP,"2/13/2023 1 a.m. PST",3491,3470,3219,-272
NEVP,"2/13/2023 2 a.m. PST",3438,3417,3233,-205
NEVP,"2/13/2023 3 a.m. PST",3427,3390,3272,-155
NEVP,"2/13/2023 4 a.m. PST",3451,3431,3442,-9
NEVP,"2/13/2023 5 a.m. PST",3534,3494,3534,0
NEVP,"2/13/2023 6 a.m. PST",3714,3657,3459,-255
NEVP,"2/13/2023 7 a.m. PST",3930,3831,3545,-385
NEVP,"2/13/2023 8 a.m. PST",3955,3836,3866,-89
NEVP,"2/13/2023 9 a.m. PST",3825,3755,4058,233
NEVP,"2/13/2023 10 a.m. PST",3676,3594,3795,119
NEVP,"2/13/2023 11 a.m. PST",3612,3489,3655,43
NEVP,"2/13/2023 12 p.m. PST",3561,3428,3410,-151
NEVP,"2/13/2023 1 p.m. PST",3538,3354,3271,-267
NEVP,"2/13/2023 2 p.m. PST",3553,3397,3586,33
NEVP,"2/13/2023 3 p.m. PST",3562,3448,3690,128
NEVP,"2/13/2023 4 p.m. PST",3615,3484,3543,-72
NEVP,"2/13/2023 5 p.m. PST",3741,3649,3196,-545
NEVP,"2/13/2023 6 p.m. PST",3987,3962,3469,-518
NEVP,"2/13/2023 7 p.m. PST",4167,4042,3704,-463
NEVP,"2/13/2023 8 p.m. PST",4127,4072,3705,-422
NEVP,"2/13/2023 9 p.m. PST",4058,4034,3626,-432
NEVP,"2/13/2023 10 p.m. PST",3925,3910,3554,-371
NEVP,"2/13/2023 11 p.m. PST",3770,3755,3319,-451
NEVP,"2/14/2023 12 a.m. PST",3621,3596,3260,-361
NEVP,"2/14/2023 1 a.m. PST",3517,3453,3116,-401
NEVP,"2/14/2023 2 a.m. PST",3468,3406,2928,-540
NEVP,"2/14/2023 3 a.m. PST",3441,3368,2669,-772
