"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"5/1/2022 12 a.m. PDT",3984,3649,3303,-681
NEVP,"5/1/2022 1 a.m. PDT",3754,3451,3241,-513
NEVP,"5/1/2022 2 a.m. PDT",3578,3324,3139,-439
NEVP,"5/1/2022 3 a.m. PDT",3464,3222,3163,-301
NEVP,"5/1/2022 4 a.m. PDT",3406,3169,3146,-260
NEVP,"5/1/2022 5 a.m. PDT",3372,3150,2957,-415
NEVP,"5/1/2022 6 a.m. PDT",3344,3198,2818,-526
NEVP,"5/1/2022 7 a.m. PDT",3297,3135,2850,-447
NEVP,"5/1/2022 8 a.m. PDT",3352,3169,3067,-285
NEVP,"5/1/2022 9 a.m. PDT",3450,3243,3526,76
NEVP,"5/1/2022 10 a.m. PDT",3608,3320,3652,44
NEVP,"5/1/2022 11 a.m. PDT",3735,3475,3727,-8
NEVP,"5/1/2022 12 p.m. PDT",3851,3545,3654,-197
NEVP,"5/1/2022 1 p.m. PDT",3988,3767,3705,-283
NEVP,"5/1/2022 2 p.m. PDT",4107,3904,3737,-370
NEVP,"5/1/2022 3 p.m. PDT",4228,4100,3819,-409
NEVP,"5/1/2022 4 p.m. PDT",4332,4185,3903,-429
NEVP,"5/1/2022 5 p.m. PDT",4386,4368,3950,-436
NEVP,"5/1/2022 6 p.m. PDT",4439,4452,3961,-478
NEVP,"5/1/2022 7 p.m. PDT",4389,4374,3564,-825
NEVP,"5/1/2022 8 p.m. PDT",4340,4267,3411,-929
NEVP,"5/1/2022 9 p.m. PDT",4357,4261,3417,-940
NEVP,"5/1/2022 10 p.m. PDT",4193,4099,3269,-924
NEVP,"5/1/2022 11 p.m. PDT",3965,3890,3162,-803
NEVP,"5/2/2022 12 a.m. PDT",3733,3665,3259,-474
NEVP,"5/2/2022 1 a.m. PDT",3543,3324,3012,-531
NEVP,"5/2/2022 2 a.m. PDT",3432,3245,3044,-388
NEVP,"5/2/2022 3 a.m. PDT",3345,3141,2879,-466
NEVP,"5/2/2022 4 a.m. PDT",3303,3133,2853,-450
NEVP,"5/2/2022 5 a.m. PDT",3336,3135,2848,-488
NEVP,"5/2/2022 6 a.m. PDT",3431,3251,2871,-560
NEVP,"5/2/2022 7 a.m. PDT",3500,3353,3149,-351
NEVP,"5/2/2022 8 a.m. PDT",3579,3361,3387,-192
NEVP,"5/2/2022 9 a.m. PDT",3655,3380,3265,-390
NEVP,"5/2/2022 10 a.m. PDT",3725,3376,3430,-295
NEVP,"5/2/2022 11 a.m. PDT",3806,3457,3539,-267
NEVP,"5/2/2022 12 p.m. PDT",3877,3543,3530,-347
NEVP,"5/2/2022 1 p.m. PDT",4006,3687,3518,-488
NEVP,"5/2/2022 2 p.m. PDT",4146,3838,3484,-662
NEVP,"5/2/2022 3 p.m. PDT",4313,4233,3519,-794
NEVP,"5/2/2022 4 p.m. PDT",4542,4538,3744,-798
NEVP,"5/2/2022 5 p.m. PDT",4727,4673,4048,-679
NEVP,"5/2/2022 6 p.m. PDT",4832,4723,4154,-678
NEVP,"5/2/2022 7 p.m. PDT",4794,4679,3802,-992
NEVP,"5/2/2022 8 p.m. PDT",4749,4485,3922,-827
NEVP,"5/2/2022 9 p.m. PDT",4735,4345,3956,-779
NEVP,"5/2/2022 10 p.m. PDT",4552,4083,3733,-819
NEVP,"5/2/2022 11 p.m. PDT",4241,3769,3598,-643
NEVP,"5/3/2022 12 a.m. PDT",3971,3580,3448,-523
NEVP,"5/3/2022 1 a.m. PDT",3760,3436,3129,-631
NEVP,"5/3/2022 2 a.m. PDT",3607,3298,3071,-536
NEVP,"5/3/2022 3 a.m. PDT",3517,3215,3119,-398
NEVP,"5/3/2022 4 a.m. PDT",3468,3146,3035,-433
NEVP,"5/3/2022 5 a.m. PDT",3468,3139,3006,-462
NEVP,"5/3/2022 6 a.m. PDT",3553,3176,3046,-507
NEVP,"5/3/2022 7 a.m. PDT",3617,3236,3169,-448
NEVP,"5/3/2022 8 a.m. PDT",3656,3448,3318,-338
NEVP,"5/3/2022 9 a.m. PDT",3700,3521,3522,-178
NEVP,"5/3/2022 10 a.m. PDT",3701,3530,3492,-209
NEVP,"5/3/2022 11 a.m. PDT",3724,3536,3539,-185
NEVP,"5/3/2022 12 p.m. PDT",3762,3589,3588,-174
NEVP,"5/3/2022 1 p.m. PDT",3787,3659,3573,-214
NEVP,"5/3/2022 2 p.m. PDT",3863,3687,3597,-266
NEVP,"5/3/2022 3 p.m. PDT",4004,3790,3656,-348
NEVP,"5/3/2022 4 p.m. PDT",4169,3933,3753,-416
NEVP,"5/3/2022 5 p.m. PDT",4339,4165,4035,-304
NEVP,"5/3/2022 6 p.m. PDT",4460,4270,4218,-242
NEVP,"5/3/2022 7 p.m. PDT",4428,4296,4088,-340
NEVP,"5/3/2022 8 p.m. PDT",4470,4268,3774,-696
NEVP,"5/3/2022 9 p.m. PDT",4474,4228,3766,-708
NEVP,"5/3/2022 10 p.m. PDT",4282,4082,3812,-470
NEVP,"5/3/2022 11 p.m. PDT",4009,3842,3614,-395
NEVP,"5/4/2022 12 a.m. PDT",3749,3609,3292,-457
NEVP,"5/4/2022 1 a.m. PDT",3553,3360,3240,-313
NEVP,"5/4/2022 2 a.m. PDT",3435,3256,3078,-357
NEVP,"5/4/2022 3 a.m. PDT",3352,3193,3043,-309
NEVP,"5/4/2022 4 a.m. PDT",3322,3208,3091,-231
NEVP,"5/4/2022 5 a.m. PDT",3353,3202,3045,-308
NEVP,"5/4/2022 6 a.m. PDT",3433,3292,3060,-373
NEVP,"5/4/2022 7 a.m. PDT",3499,3388,3441,-58
NEVP,"5/4/2022 8 a.m. PDT",3560,3474,3609,49
NEVP,"5/4/2022 9 a.m. PDT",3634,3526,3438,-196
NEVP,"5/4/2022 10 a.m. PDT",3755,3605,3577,-178
NEVP,"5/4/2022 11 a.m. PDT",3807,3677,3556,-251
NEVP,"5/4/2022 12 p.m. PDT",3842,3810,3681,-161
NEVP,"5/4/2022 1 p.m. PDT",3869,3880,3674,-195
NEVP,"5/4/2022 2 p.m. PDT",3983,4007,3595,-388
NEVP,"5/4/2022 3 p.m. PDT",4158,4250,3557,-601
NEVP,"5/4/2022 4 p.m. PDT",4366,4484,3677,-689
NEVP,"5/4/2022 5 p.m. PDT",4591,4726,3948,-643
NEVP,"5/4/2022 6 p.m. PDT",4756,4786,4126,-630
NEVP,"5/4/2022 7 p.m. PDT",4754,4633,4132,-622
NEVP,"5/4/2022 8 p.m. PDT",4709,4483,3914,-795
NEVP,"5/4/2022 9 p.m. PDT",4670,4290,3903,-767
NEVP,"5/4/2022 10 p.m. PDT",4453,4075,3812,-641
NEVP,"5/4/2022 11 p.m. PDT",4151,3889,3466,-685
NEVP,"5/5/2022 12 a.m. PDT",3854,3707,3511,-343
NEVP,"5/5/2022 1 a.m. PDT",3620,3575,3200,-420
NEVP,"5/5/2022 2 a.m. PDT",3476,3448,3132,-344
NEVP,"5/5/2022 3 a.m. PDT",3380,3315,3125,-255
NEVP,"5/5/2022 4 a.m. PDT",3338,3295,3129,-209
NEVP,"5/5/2022 5 a.m. PDT",3361,3293,3218,-143
NEVP,"5/5/2022 6 a.m. PDT",3475,3427,3244,-231
NEVP,"5/5/2022 7 a.m. PDT",3591,3469,3495,-96
NEVP,"5/5/2022 8 a.m. PDT",3711,3421,3358,-353
NEVP,"5/5/2022 9 a.m. PDT",3850,3535,3276,-574
NEVP,"5/5/2022 10 a.m. PDT",3970,3600,3357,-613
NEVP,"5/5/2022 11 a.m. PDT",4089,3719,3516,-573
NEVP,"5/5/2022 12 p.m. PDT",5378,3883,4717,-661
NEVP,"5/5/2022 1 p.m. PDT",4335,4068,3588,-747
NEVP,"5/5/2022 2 p.m. PDT",4621,4258,3544,-1077
NEVP,"5/5/2022 3 p.m. PDT",4819,4535,3363,-1456
NEVP,"5/5/2022 4 p.m. PDT",5214,4789,4117,-1097
NEVP,"5/5/2022 5 p.m. PDT",5113,4964,4102,-1011
NEVP,"5/5/2022 6 p.m. PDT",5119,5055,4526,-593
NEVP,"5/5/2022 7 p.m. PDT",5042,5023,4215,-827
NEVP,"5/5/2022 8 p.m. PDT",5015,4900,4297,-718
NEVP,"5/5/2022 9 p.m. PDT",4974,4726,4241,-733
NEVP,"5/5/2022 10 p.m. PDT",4849,4494,4106,-743
NEVP,"5/5/2022 11 p.m. PDT",4578,4155,3650,-928
NEVP,"5/6/2022 12 a.m. PDT",4280,3886,3554,-726
NEVP,"5/6/2022 1 a.m. PDT",3966,3659,3324,-642
NEVP,"5/6/2022 2 a.m. PDT",3786,3493,3239,-547
NEVP,"5/6/2022 3 a.m. PDT",3663,3311,3014,-649
NEVP,"5/6/2022 4 a.m. PDT",3598,3211,3028,-570
NEVP,"5/6/2022 5 a.m. PDT",3567,3208,3055,-512
NEVP,"5/6/2022 6 a.m. PDT",3647,3325,3080,-567
NEVP,"5/6/2022 7 a.m. PDT",3684,3374,3366,-318
NEVP,"5/6/2022 8 a.m. PDT",3820,3553,3516,-304
NEVP,"5/6/2022 9 a.m. PDT",4013,3678,3496,-517
NEVP,"5/6/2022 10 a.m. PDT",4164,3716,3578,-586
NEVP,"5/6/2022 11 a.m. PDT",4340,3850,3659,-681
NEVP,"5/6/2022 12 p.m. PDT",4537,4084,3746,-791
NEVP,"5/6/2022 1 p.m. PDT",4751,4325,4013,-738
NEVP,"5/6/2022 2 p.m. PDT",5000,4642,4317,-683
NEVP,"5/6/2022 3 p.m. PDT",5294,4903,4324,-970
NEVP,"5/6/2022 4 p.m. PDT",5547,5225,4368,-1179
NEVP,"5/6/2022 5 p.m. PDT",5723,5399,4484,-1239
NEVP,"5/6/2022 6 p.m. PDT",5796,5387,4754,-1042
NEVP,"5/6/2022 7 p.m. PDT",5710,5417,4594,-1116
NEVP,"5/6/2022 8 p.m. PDT",5537,5305,4245,-1292
NEVP,"5/6/2022 9 p.m. PDT",5447,5015,4511,-936
NEVP,"5/6/2022 10 p.m. PDT",5206,4633,4491,-715
NEVP,"5/6/2022 11 p.m. PDT",4904,4387,4041,-863
NEVP,"5/7/2022 12 a.m. PDT",4603,4109,3728,-875
NEVP,"5/7/2022 1 a.m. PDT",4329,3778,3508,-821
NEVP,"5/7/2022 2 a.m. PDT",4171,3629,3386,-785
NEVP,"5/7/2022 3 a.m. PDT",3963,3505,3097,-866
NEVP,"5/7/2022 4 a.m. PDT",3844,3354,3149,-695
NEVP,"5/7/2022 5 a.m. PDT",3765,3345,3033,-732
NEVP,"5/7/2022 6 a.m. PDT",3720,3370,3073,-647
NEVP,"5/7/2022 7 a.m. PDT",3662,3306,3366,-296
NEVP,"5/7/2022 8 a.m. PDT",3749,3503,3537,-212
NEVP,"5/7/2022 9 a.m. PDT",3978,3602,3695,-283
NEVP,"5/7/2022 10 a.m. PDT",4209,3698,3823,-386
NEVP,"5/7/2022 11 a.m. PDT",4389,3814,3760,-629
NEVP,"5/7/2022 12 p.m. PDT",4547,4019,3767,-780
NEVP,"5/7/2022 1 p.m. PDT",4657,4231,3702,-955
NEVP,"5/7/2022 2 p.m. PDT",4803,4432,3854,-949
NEVP,"5/7/2022 3 p.m. PDT",5002,4641,4074,-928
NEVP,"5/7/2022 4 p.m. PDT",5184,4808,4196,-988
NEVP,"5/7/2022 5 p.m. PDT",5313,4877,4357,-956
NEVP,"5/7/2022 6 p.m. PDT",5256,4860,4149,-1107
NEVP,"5/7/2022 7 p.m. PDT",5076,4795,4155,-921
NEVP,"5/7/2022 8 p.m. PDT",4928,4668,3965,-963
NEVP,"5/7/2022 9 p.m. PDT",4815,4487,3990,-825
NEVP,"5/7/2022 10 p.m. PDT",4600,4269,3962,-638
NEVP,"5/7/2022 11 p.m. PDT",4335,4070,3730,-605
NEVP,"5/8/2022 12 a.m. PDT",4092,3850,3754,-338
NEVP,"5/8/2022 1 a.m. PDT",3851,3504,3571,-280
NEVP,"5/8/2022 2 a.m. PDT",3656,3377,3367,-289
NEVP,"5/8/2022 3 a.m. PDT",3521,3280,3207,-314
