"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"3/1/2022 12 a.m. PST",3510,3456,3131,-379
NEVP,"3/1/2022 1 a.m. PST",3425,3342,3112,-313
NEVP,"3/1/2022 2 a.m. PST",3368,3307,3190,-178
NEVP,"3/1/2022 3 a.m. PST",3359,3290,3003,-356
NEVP,"3/1/2022 4 a.m. PST",3379,3287,2963,-416
NEVP,"3/1/2022 5 a.m. PST",3470,3327,3082,-388
NEVP,"3/1/2022 6 a.m. PST",3650,3488,3111,-539
NEVP,"3/1/2022 7 a.m. PST",3782,3670,3300,-482
NEVP,"3/1/2022 8 a.m. PST",3730,3512,3489,-241
NEVP,"3/1/2022 9 a.m. PST",3634,3309,3456,-178
NEVP,"3/1/2022 10 a.m. PST",3599,3181,3635,36
NEVP,"3/1/2022 11 a.m. PST",3569,3125,3540,-29
NEVP,"3/1/2022 12 p.m. PST",3554,3068,3244,-310
NEVP,"3/1/2022 1 p.m. PST",3559,3059,3158,-401
NEVP,"3/1/2022 2 p.m. PST",3601,3070,3304,-297
NEVP,"3/1/2022 3 p.m. PST",3625,3142,3571,-54
NEVP,"3/1/2022 4 p.m. PST",3736,3279,3880,144
NEVP,"3/1/2022 5 p.m. PST",3854,3548,3489,-365
NEVP,"3/1/2022 6 p.m. PST",4015,3838,3362,-653
NEVP,"3/1/2022 7 p.m. PST",4093,3899,3616,-477
NEVP,"3/1/2022 8 p.m. PST",4043,3852,3561,-482
NEVP,"3/1/2022 9 p.m. PST",3950,3763,3471,-479
NEVP,"3/1/2022 10 p.m. PST",3793,3648,3448,-345
NEVP,"3/1/2022 11 p.m. PST",3628,3500,3256,-372
NEVP,"3/2/2022 12 a.m. PST",3484,3337,2963,-521
NEVP,"3/2/2022 1 a.m. PST",3365,3212,2889,-476
NEVP,"3/2/2022 2 a.m. PST",3329,3156,2947,-382
NEVP,"3/2/2022 3 a.m. PST",3301,3125,2930,-371
NEVP,"3/2/2022 4 a.m. PST",3326,3163,2939,-387
NEVP,"3/2/2022 5 a.m. PST",3413,3227,3048,-365
NEVP,"3/2/2022 6 a.m. PST",3581,3398,3128,-453
