"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"1/1/2022 12 a.m. EST",11758,11480,8922,-2836
ISNE,"1/1/2022 1 a.m. EST",10890,10680,8198,-2692
ISNE,"1/1/2022 2 a.m. EST",10571,10270,7730,-2841
ISNE,"1/1/2022 3 a.m. EST",10281,9930,7796,-2485
ISNE,"1/1/2022 4 a.m. EST",10096,9790,7556,-2540
ISNE,"1/1/2022 5 a.m. EST",10354,9760,7800,-2554
ISNE,"1/1/2022 6 a.m. EST",10518,9750,8066,-2452
ISNE,"1/1/2022 7 a.m. EST",10632,9890,8236,-2396
ISNE,"1/1/2022 8 a.m. EST",10784,10370,8116,-2668
ISNE,"1/1/2022 9 a.m. EST",11341,11130,8465,-2876
ISNE,"1/1/2022 10 a.m. EST",12042,11810,8802,-3240
ISNE,"1/1/2022 11 a.m. EST",12704,12540,9347,-3357
ISNE,"1/1/2022 12 p.m. EST",13088,12750,9798,-3290
ISNE,"1/1/2022 1 p.m. EST",13205,12830,9815,-3390
ISNE,"1/1/2022 2 p.m. EST",13160,12870,9809,-3351
ISNE,"1/1/2022 3 p.m. EST",13079,12930,9736,-3343
ISNE,"1/1/2022 4 p.m. EST",13176,13140,9886,-3290
ISNE,"1/1/2022 5 p.m. EST",13863,13820,10663,-3200
ISNE,"1/1/2022 6 p.m. EST",14373,14220,11050,-3323
ISNE,"1/1/2022 7 p.m. EST",14080,13870,10867,-3213
ISNE,"1/1/2022 8 p.m. EST",13602,13270,10570,-3032
ISNE,"1/1/2022 9 p.m. EST",13065,12730,9967,-3098
ISNE,"1/1/2022 10 p.m. EST",12455,12070,9386,-3069
ISNE,"1/1/2022 11 p.m. EST",11685,11370,8635,-3050
ISNE,"1/2/2022 12 a.m. EST",11166,10710,8184,-2982
ISNE,"1/2/2022 1 a.m. EST",10392,10280,7970,-2422
ISNE,"1/2/2022 2 a.m. EST",10084,9840,7513,-2571
ISNE,"1/2/2022 3 a.m. EST",9693,9620,7344,-2349
ISNE,"1/2/2022 4 a.m. EST",9503,9500,7330,-2173
ISNE,"1/2/2022 5 a.m. EST",9557,9550,7351,-2206
ISNE,"1/2/2022 6 a.m. EST",9801,9760,7583,-2218
ISNE,"1/2/2022 7 a.m. EST",10238,10080,7764,-2474
ISNE,"1/2/2022 8 a.m. EST",10806,10640,8213,-2593
ISNE,"1/2/2022 9 a.m. EST",11487,11490,8643,-2844
ISNE,"1/2/2022 10 a.m. EST",12162,12280,8956,-3206
ISNE,"1/2/2022 11 a.m. EST",12637,12710,9346,-3291
ISNE,"1/2/2022 12 p.m. EST",13069,12920,9933,-3136
ISNE,"1/2/2022 1 p.m. EST",13402,13090,10161,-3241
ISNE,"1/2/2022 2 p.m. EST",13453,13200,10313,-3140
ISNE,"1/2/2022 3 p.m. EST",13472,13320,10280,-3192
ISNE,"1/2/2022 4 p.m. EST",13704,13720,10252,-3452
ISNE,"1/2/2022 5 p.m. EST",14615,14620,11280,-3335
ISNE,"1/2/2022 6 p.m. EST",15269,15400,11994,-3275
ISNE,"1/2/2022 7 p.m. EST",15094,15080,11898,-3196
ISNE,"1/2/2022 8 p.m. EST",14724,14510,11555,-3169
ISNE,"1/2/2022 9 p.m. EST",14192,14000,10930,-3262
ISNE,"1/2/2022 10 p.m. EST",13484,13240,10069,-3415
ISNE,"1/2/2022 11 p.m. EST",12628,12440,9239,-3389
ISNE,"1/3/2022 12 a.m. EST",12238,11710,8624,-3614
ISNE,"1/3/2022 1 a.m. EST",12049,11290,8377,-3672
ISNE,"1/3/2022 2 a.m. EST",11790,11010,8182,-3608
ISNE,"1/3/2022 3 a.m. EST",11712,10950,8224,-3488
ISNE,"1/3/2022 4 a.m. EST",11838,11070,8625,-3213
ISNE,"1/3/2022 5 a.m. EST",11949,11490,8940,-3009
ISNE,"1/3/2022 6 a.m. EST",12578,12390,9569,-3009
ISNE,"1/3/2022 7 a.m. EST",13799,13830,10656,-3143
ISNE,"1/3/2022 8 a.m. EST",14906,14910,11714,-3192
ISNE,"1/3/2022 9 a.m. EST",15425,15420,12336,-3089
ISNE,"1/3/2022 10 a.m. EST",15743,15730,12811,-2932
ISNE,"1/3/2022 11 a.m. EST",16051,16060,13283,-2768
ISNE,"1/3/2022 12 p.m. EST",16258,16250,13458,-2800
ISNE,"1/3/2022 1 p.m. EST",16347,16330,13497,-2850
ISNE,"1/3/2022 2 p.m. EST",16400,16490,13443,-2957
ISNE,"1/3/2022 3 p.m. EST",16375,16780,13384,-2991
ISNE,"1/3/2022 4 p.m. EST",16588,17340,13455,-3133
ISNE,"1/3/2022 5 p.m. EST",17345,18140,14284,-3061
ISNE,"1/3/2022 6 p.m. EST",17920,18460,15057,-2863
ISNE,"1/3/2022 7 p.m. EST",17646,18290,14776,-2870
ISNE,"1/3/2022 8 p.m. EST",17190,17690,14369,-2821
ISNE,"1/3/2022 9 p.m. EST",16520,16780,13839,-2681
ISNE,"1/3/2022 10 p.m. EST",15646,15670,13101,-2545
ISNE,"1/3/2022 11 p.m. EST",14599,14430,12001,-2598
ISNE,"1/4/2022 12 a.m. EST",13674,13340,10857,-2817
ISNE,"1/4/2022 1 a.m. EST",13113,13090,10534,-2579
ISNE,"1/4/2022 2 a.m. EST",12830,12810,10128,-2702
ISNE,"1/4/2022 3 a.m. EST",12758,12740,9960,-2798
ISNE,"1/4/2022 4 a.m. EST",12818,12820,9902,-2916
ISNE,"1/4/2022 5 a.m. EST",13221,13230,10969,-2252
ISNE,"1/4/2022 6 a.m. EST",14110,14130,11567,-2543
ISNE,"1/4/2022 7 a.m. EST",15575,15620,13577,-1998
ISNE,"1/4/2022 8 a.m. EST",16575,16580,14418,-2157
ISNE,"1/4/2022 9 a.m. EST",16344,16300,13593,-2751
ISNE,"1/4/2022 10 a.m. EST",15409,15410,12900,-2509
ISNE,"1/4/2022 11 a.m. EST",14598,14840,11999,-2599
ISNE,"1/4/2022 12 p.m. EST",14115,14380,11711,-2404
ISNE,"1/4/2022 1 p.m. EST",13919,14140,11464,-2455
ISNE,"1/4/2022 2 p.m. EST",14104,14070,11476,-2628
ISNE,"1/4/2022 3 p.m. EST",14808,14590,12096,-2712
ISNE,"1/4/2022 4 p.m. EST",15854,15430,13202,-2652
ISNE,"1/4/2022 5 p.m. EST",16878,16610,14077,-2801
ISNE,"1/4/2022 6 p.m. EST",17858,17700,14847,-3011
ISNE,"1/4/2022 7 p.m. EST",17696,17600,14411,-3285
ISNE,"1/4/2022 8 p.m. EST",17181,17090,14017,-3164
ISNE,"1/4/2022 9 p.m. EST",16487,16370,13630,-2857
ISNE,"1/4/2022 10 p.m. EST",15570,15420,12617,-2953
ISNE,"1/4/2022 11 p.m. EST",14439,14230,11193,-3246
ISNE,"1/5/2022 12 a.m. EST",13440,13230,10353,-3087
ISNE,"1/5/2022 1 a.m. EST",12773,12750,10352,-2421
ISNE,"1/5/2022 2 a.m. EST",12379,12370,10129,-2250
ISNE,"1/5/2022 3 a.m. EST",12205,12190,10110,-2095
ISNE,"1/5/2022 4 a.m. EST",12202,12200,9997,-2205
ISNE,"1/5/2022 5 a.m. EST",12470,12480,10533,-1937
ISNE,"1/5/2022 6 a.m. EST",13240,13270,11586,-1654
ISNE,"1/5/2022 7 a.m. EST",14542,14570,12765,-1777
ISNE,"1/5/2022 8 a.m. EST",15438,15450,13426,-2012
ISNE,"1/5/2022 9 a.m. EST",15696,15700,13691,-2005
ISNE,"1/5/2022 10 a.m. EST",15725,15760,13756,-1969
ISNE,"1/5/2022 11 a.m. EST",15675,15630,13410,-2265
ISNE,"1/5/2022 12 p.m. EST",16001,15640,13552,-2449
ISNE,"1/5/2022 1 p.m. EST",15774,15600,13577,-2197
ISNE,"1/5/2022 2 p.m. EST",15733,15660,13569,-2164
ISNE,"1/5/2022 3 p.m. EST",15757,15570,13548,-2209
ISNE,"1/5/2022 4 p.m. EST",15842,15600,13705,-2137
ISNE,"1/5/2022 5 p.m. EST",16467,16000,14164,-2303
ISNE,"1/5/2022 6 p.m. EST",16994,16800,14744,-2250
ISNE,"1/5/2022 7 p.m. EST",16621,16380,14390,-2231
ISNE,"1/5/2022 8 p.m. EST",15968,15770,13550,-2418
ISNE,"1/5/2022 9 p.m. EST",15227,15040,13028,-2199
ISNE,"1/5/2022 10 p.m. EST",14544,14120,12166,-2378
ISNE,"1/5/2022 11 p.m. EST",13515,13070,10895,-2620
ISNE,"1/6/2022 12 a.m. EST",12568,12140,9846,-2722
ISNE,"1/6/2022 1 a.m. EST",12194,11440,9285,-2909
ISNE,"1/6/2022 2 a.m. EST",11835,11070,8911,-2924
ISNE,"1/6/2022 3 a.m. EST",11688,10940,9110,-2578
ISNE,"1/6/2022 4 a.m. EST",11741,11000,9224,-2517
ISNE,"1/6/2022 5 a.m. EST",12052,11320,9567,-2485
ISNE,"1/6/2022 6 a.m. EST",12934,12280,10512,-2422
ISNE,"1/6/2022 7 a.m. EST",14347,13710,11607,-2740
ISNE,"1/6/2022 8 a.m. EST",14865,14700,12017,-2848
ISNE,"1/6/2022 9 a.m. EST",14832,14480,11860,-2972
ISNE,"1/6/2022 10 a.m. EST",14344,14010,11504,-2840
ISNE,"1/6/2022 11 a.m. EST",13651,13610,10896,-2755
ISNE,"1/6/2022 12 p.m. EST",13815,13500,11100,-2715
ISNE,"1/6/2022 1 p.m. EST",13967,13510,11590,-2377
ISNE,"1/6/2022 2 p.m. EST",13923,13630,11189,-2734
ISNE,"1/6/2022 3 p.m. EST",14045,14050,11362,-2683
ISNE,"1/6/2022 4 p.m. EST",14790,14700,12239,-2551
ISNE,"1/6/2022 5 p.m. EST",15932,15820,13559,-2373
ISNE,"1/6/2022 6 p.m. EST",16851,16940,14427,-2424
ISNE,"1/6/2022 7 p.m. EST",16708,16780,14108,-2600
ISNE,"1/6/2022 8 p.m. EST",16229,16330,13640,-2589
ISNE,"1/6/2022 9 p.m. EST",15598,15620,12969,-2629
ISNE,"1/6/2022 10 p.m. EST",14750,14730,12196,-2554
ISNE,"1/6/2022 11 p.m. EST",13725,13610,11014,-2711
ISNE,"1/7/2022 12 a.m. EST",12796,12670,9994,-2802
ISNE,"1/7/2022 1 a.m. EST",12147,12100,9300,-2847
ISNE,"1/7/2022 2 a.m. EST",11991,11700,9341,-2650
ISNE,"1/7/2022 3 a.m. EST",11854,11540,9317,-2537
ISNE,"1/7/2022 4 a.m. EST",11885,11570,9298,-2587
ISNE,"1/7/2022 5 a.m. EST",11997,11910,9138,-2859
ISNE,"1/7/2022 6 a.m. EST",12712,12800,9595,-3117
ISNE,"1/7/2022 7 a.m. EST",13684,14230,10416,-3268
ISNE,"1/7/2022 8 a.m. EST",14612,15250,11322,-3290
ISNE,"1/7/2022 9 a.m. EST",15361,15690,12253,-3108
