"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"2/1/2022 12 a.m. PST",3653,3639,3434,-219
NEVP,"2/1/2022 1 a.m. PST",3547,3573,3414,-133
NEVP,"2/1/2022 2 a.m. PST",3505,3545,3380,-125
NEVP,"2/1/2022 3 a.m. PST",3467,3524,3431,-36
NEVP,"2/1/2022 4 a.m. PST",3467,3539,3445,-22
NEVP,"2/1/2022 5 a.m. PST",3557,3641,3391,-166
NEVP,"2/1/2022 6 a.m. PST",3746,3829,3391,-355
NEVP,"2/1/2022 7 a.m. PST",3969,4042,3415,-554
NEVP,"2/1/2022 8 a.m. PST",3989,3936,3622,-367
NEVP,"2/1/2022 9 a.m. PST",3919,3722,3906,-13
NEVP,"2/1/2022 10 a.m. PST",3753,3587,3793,40
NEVP,"2/1/2022 11 a.m. PST",3695,3507,3372,-323
NEVP,"2/1/2022 12 p.m. PST",3703,3436,3062,-641
NEVP,"2/1/2022 1 p.m. PST",3639,3401,3276,-363
NEVP,"2/1/2022 2 p.m. PST",3584,3399,3630,46
NEVP,"2/1/2022 3 p.m. PST",3715,3427,4105,390
NEVP,"2/1/2022 4 p.m. PST",3811,3527,4025,214
NEVP,"2/1/2022 5 p.m. PST",3968,3830,3624,-344
NEVP,"2/1/2022 6 p.m. PST",4208,4111,3762,-446
NEVP,"2/1/2022 7 p.m. PST",4294,4161,3768,-526
NEVP,"2/1/2022 8 p.m. PST",4288,4118,3661,-627
NEVP,"2/1/2022 9 p.m. PST",4231,4049,3683,-548
NEVP,"2/1/2022 10 p.m. PST",4105,3922,3684,-421
NEVP,"2/1/2022 11 p.m. PST",3941,3765,3510,-431
NEVP,"2/2/2022 12 a.m. PST",3801,3617,3629,-172
NEVP,"2/2/2022 1 a.m. PST",3713,3565,3423,-290
NEVP,"2/2/2022 2 a.m. PST",3671,3521,3344,-327
NEVP,"2/2/2022 3 a.m. PST",3659,3518,3325,-334
NEVP,"2/2/2022 4 a.m. PST",3722,3548,3347,-375
NEVP,"2/2/2022 5 a.m. PST",3807,3635,3376,-431
NEVP,"2/2/2022 6 a.m. PST",3992,3816,3558,-434
NEVP,"2/2/2022 7 a.m. PST",4205,4057,3655,-550
NEVP,"2/2/2022 8 a.m. PST",4222,4014,3974,-248
NEVP,"2/2/2022 9 a.m. PST",4154,3795,4058,-96
NEVP,"2/2/2022 10 a.m. PST",4164,3636,3810,-354
NEVP,"2/2/2022 11 a.m. PST",4225,3529,4113,-112
NEVP,"2/2/2022 12 p.m. PST",4444,3473,4205,-239
NEVP,"2/2/2022 1 p.m. PST",4512,3427,4194,-318
NEVP,"2/2/2022 2 p.m. PST",4508,3421,4095,-413
NEVP,"2/2/2022 3 p.m. PST",4544,3458,4368,-176
NEVP,"2/2/2022 4 p.m. PST",4340,3562,4337,-3
NEVP,"2/2/2022 5 p.m. PST",4262,3750,3938,-324
NEVP,"2/2/2022 6 p.m. PST",4428,4025,4143,-285
NEVP,"2/2/2022 7 p.m. PST",4523,4036,4358,-165
NEVP,"2/2/2022 8 p.m. PST",4481,4011,4286,-195
NEVP,"2/2/2022 9 p.m. PST",4421,3951,4005,-416
NEVP,"2/2/2022 10 p.m. PST",4288,3864,3981,-307
NEVP,"2/2/2022 11 p.m. PST",4113,3738,3920,-193
NEVP,"2/3/2022 12 a.m. PST",3977,3637,3883,-94
NEVP,"2/3/2022 1 a.m. PST",3893,3687,3893,0
NEVP,"2/3/2022 2 a.m. PST",3859,3639,3853,-6
NEVP,"2/3/2022 3 a.m. PST",3849,3626,3761,-88
NEVP,"2/3/2022 4 a.m. PST",3879,3659,3747,-132
NEVP,"2/3/2022 5 a.m. PST",3978,3746,3787,-191
NEVP,"2/3/2022 6 a.m. PST",4150,3885,3822,-328
NEVP,"2/3/2022 7 a.m. PST",4369,4128,4035,-334
NEVP,"2/3/2022 8 a.m. PST",4246,4015,4149,-97
NEVP,"2/3/2022 9 a.m. PST",4166,3840,4001,-165
NEVP,"2/3/2022 10 a.m. PST",3952,3717,3478,-474
NEVP,"2/3/2022 11 a.m. PST",3844,3585,3514,-330
NEVP,"2/3/2022 12 p.m. PST",3722,3508,3547,-175
NEVP,"2/3/2022 1 p.m. PST",3614,3472,3615,1
NEVP,"2/3/2022 2 p.m. PST",3581,3452,3566,-15
NEVP,"2/3/2022 3 p.m. PST",3581,3473,3679,98
NEVP,"2/3/2022 4 p.m. PST",3732,3534,3759,27
NEVP,"2/3/2022 5 p.m. PST",3940,3837,3616,-324
NEVP,"2/3/2022 6 p.m. PST",4291,4191,3969,-322
NEVP,"2/3/2022 7 p.m. PST",4393,4236,4087,-306
NEVP,"2/3/2022 8 p.m. PST",4384,4198,4170,-214
NEVP,"2/3/2022 9 p.m. PST",4326,4154,3985,-341
NEVP,"2/3/2022 10 p.m. PST",4206,4021,3944,-262
NEVP,"2/3/2022 11 p.m. PST",4044,3865,3775,-269
NEVP,"2/4/2022 12 a.m. PST",3890,3742,3748,-142
NEVP,"2/4/2022 1 a.m. PST",3804,3643,3748,-56
